품목분류코드,품목명
115,주방/생활용품/미용용품 > 기능성화장품/발모제
119,주방/생활용품/미용용품 > 썬크림
121,주방/생활용품/미용용품 > 염색약
315,주방/생활용품/미용용품 > 음식물처리기
328,주방/생활용품/미용용품 > 목제공구
333,"주방/생활용품/미용용품 > 여과기,청정기(필터)"
337,주방/생활용품/미용용품 > 나무도마
123,의약품/측정기 > 임신테스트기
124,의약품/측정기 > 혈압측정기
125,의약품/측정기 > 심장박동수 측정기
126,의약품/측정기 > 산소농도측정기
127,의약품/측정기 > 체온계
128,의약품/측정기 > 의약품/의료용품/반창고/부착파스 등
325,의약품/측정기 > 기타 측정기
294,악기류 > 피아노
295,악기류 > 현악기
296,악기류 > 관악기
297,악기류 > 타악기
131,악기류 > 악기부품
195,가구/인테리어용품/공구 > 캔들/양초
196,가구/인테리어용품/공구 > 방향제
202,가구/인테리어용품/공구 > 가구
307,가구/인테리어용품/공구 > 의자
308,가구/인테리어용품/공구 > 책장
309,가구/인테리어용품/공구 > 테이블
203,가구/인테리어용품/공구 > 조명(형광등.스탠드 제외)
310,가구/인테리어용품/공구 > 목제품
311,가구/인테리어용품/공구 > 가정용소품(플라스틱)
312,가구/인테리어용품/공구 > 가정용소품(철강)
313,가구/인테리어용품/공구 > 가정용소품(유리)
198,가구/인테리어용품/공구 > 전동공구류
199,가구/인테리어용품/공구 > 볼트/나사/드라이버
139,가구/인테리어용품/공구 > 골동품(100년 초과)
134,가구/인테리어용품/공구 > 일반도자제품
323,가구/인테리어용품/공구 > 호신용품
330,가구/인테리어용품/공구 > 가정용소품(석재)
141,담배/흠연용품 > 끽연용 파이프
142,담배/흠연용품 > 담배용 라이터
143,담배/흠연용품 > 담배 (1보루까지 면세)
144,담배/흠연용품 > 전자담배
146,식품/음식/음료 > 초콜릿/캔디
147,식품/음식/음료 > 소스/쨈
148,식품/음식/음료 > 인조꿀 (6병까지)
149,식품/음식/음료 > 천연꿀 (5kg까지)
150,"식품/음식/음료 > 비스킷, 쿠키, 크래커"
151,식품/음식/음료 > 가루 믹스(코코아/VIA등)
152,식품/음식/음료 > 차(TEA) / 커피
153,식품/음식/음료 > 위스키/주류
154,식품/음식/음료 > 와인
155,식품/음식/음료 > 음료
156,식품/음식/음료 > 향신료(후추/바닐라/허브등)
157,식품/음식/음료 > 소금
216,식품/음식/음료 > 기타 식품류
159,건강보조식품/비타민 > 다이어트 제품
160,건강보조식품/비타민 > 영양제류
